Bezirksregierung,Kreis/Stadt,Schulform,Schulnummer,Schulname,Sozialindex,latitude,longitude,found_address
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169973,"Hattingen, Gym Schulzentrum Holthausen",2,51.3971013,7.2053177,"Gymnasium im Schulzentrum Holthausen, 2, Lindstockstraße, Obereichholz, Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45527, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169985,"Hattingen, Gym Waldstraße",3,51.3913767,7.1891307,"Gymnasium Waldstraße, Pilgerweg, Rosental, Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45525, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169997,"Herdecke, Gym Friedrich-Harkort-Schule",1,51.3957167,7.4403404,"Friedrich-Harkort Schule, Hengsteyseestraße, Sonnenstein, Herdecke, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58313, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,170008,"Schwelm, Gym Märkisches",3,51.2810783,7.2870271,"Märkisches Gymnasium Schwelm, 1, Präsidentenstraße, Schwelm, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58332, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,170010,"Wetter, Gym Geschwister-Scholl",1,51.3857535,7.3761965,"Geschwister - Scholl-Gymnasium, Haus Hove, Oberwengern, Volmarstein, Wetter (Ruhr), Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58300, Deutschland"
Arnsberg,Hochsauerlandkreis,Gymnasium,169833,"Arnsberg, Gym Laurentianum",3,51.3916026,8.06552,"Gymnasium Laurentianum, 26, Klosterstraße, Arnsberg, Hochsauerlandkreis, Nordrhein-Westfalen, 59821, Deutschland"
Arnsberg,Hochsauerlandkreis,Gymnasium,169894,"Sundern, Gym Berliner Str.",1,51.3207278,7.9999449,"Städtisches Gymnasium Sundern, 55, Berliner Straße, Sundern, Hochsauerlandkreis, Nordrhein-Westfalen, 59846, Deutschland"
Arnsberg,Hochsauerlandkreis,Gymnasium,169912,"Brilon, Gym Petrinum",1,51.3932122,8.5510777,"Gymnasium Petrinum, 21, Zur Jakobuslinde, Brilon (Kernstadt), Brilon, Hochsauerlandkreis, Nordrhein-Westfalen, 59929, Deutschland"
Arnsberg,Hochsauerlandkreis,Gymnasium,169924,"Winterberg, Gym Geschwister-Scholl",1,51.1886615,8.52701,"Geschwister Scholl-Gymnasium der Stadt Winterberg, Gartenstraße, Winterberg, Hochsauerlandkreis, Nordrhein-Westfalen, 59955, Deutschland"
Arnsberg,Hochsauerlandkreis,Gymnasium,169948,"Marsberg, Gym Carolus-Magnus",1,51.4645943,8.8528706,"Carolus-Magnus-Gymnasium, Mönchstraße, Niedermarsberg, Marsberg, Hochsauerlandkreis, Nordrhein-Westfalen, 34431, Deutschland"
Arnsberg,Hochsauerlandkreis,Gymnasium,170197,"Meschede, Gym Schederweg",2,51.3411288,8.2976941,"Gymnasium der Stadt Meschede, 65, Schederweg, Heinrichsthal, Meschede, Hochsauerlandkreis, Nordrhein-Westfalen, 59872, Deutschland"
Arnsberg,Hochsauerlandkreis,Gymnasium,170215,"Schmallenberg, Gym Obringhauser Straße",1,51.1541617,8.2846242,"Obringhauser Straße, Schmallenberg, Hochsauerlandkreis, Nordrhein-Westfalen, 57392, Deutschland"
Arnsberg,Hochsauerlandkreis,Gymnasium,194670,"Arnsberg, Gym Franz-Stock",2,51.4366195,7.9676658,"Franz-Stock-Gymnasium, Berliner Platz, Rumbecker Holz, Hüsten, Arnsberg, Hochsauerlandkreis, Nordrhein-Westfalen, 59759, Deutschland"
Arnsberg,Kreis Olpe,Gesamtschule,197142,"Finnentrop, GE Bigge-Lenne",3,51.1712933,7.9729871,"Bigge-Lenne Gesamtschule, 22-24, Kopernikusstraße, Finnentrop, Kreis Olpe, Nordrhein-Westfalen, 57413, Deutschland"
Arnsberg,Kreis Olpe,Gesamtschule,198006,"Wenden, GE Peter-Dassis-Ring",2,50.9737524,7.8704253,"Peter-Dassis-Ring, Wenden, Kreis Olpe, Nordrhein-Westfalen, 57482, Deutschland"
Arnsberg,Kreis Olpe,Gymnasium,170239,"Attendorn, Gym Rivius",2,51.1274418,7.9001014,"Rivius-Gymnasium, Westwall, Attendorn, Kreis Olpe, Nordrhein-Westfalen, 57439, Deutschland"
Arnsberg,Kreis Olpe,Gymnasium,170240,"Lennestadt, Gym Am Biertappen",2,51.1036799,8.0693883,"Am Biertappen, Altenhundem, Lennestadt, Kreis Olpe, Nordrhein-Westfalen, 57368, Deutschland"
Arnsberg,Kreis Olpe,Gymnasium,170276,"Olpe, Gym Seminarstr.",1,51.0332143,7.8464556,"Städtisches Gymnasium Olpe, Seminarstraße, Olpe, Kreis Olpe, Nordrhein-Westfalen, 57462, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,100175,"Siegen, GE Am Rosterberg",6,,,
Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,190019,"Siegen, GE Bertha-v.-Suttner-Gesamtschul",5,,,
Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,191036,"Siegen, GE Eiserfeld",3,50.8334725,7.9981895,"Gesamtschule Eiserfeld, Talsbachstraße, Wiedthal, Eiserfeld, Siegen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57080, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,191826,"Kreuztal, GE Clara-Schumann-Schule",5,50.9631562,7.9950428,"Clara-Schumann-Gesamtschule, 2, Djurslandweg, Kreuztal, Fellinghausen, Kreuztal, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57223, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,198110,"Freudenberg, GE Esther-Bejarano",2,50.9090231,7.8846609,"Esther-Bejarano-Gesamtschule Freudenberg + Turnhalle (Gebäudeteil C), 5 - 9, Hermann-Vomhof-Straße, Eichen, Büschergrund, Freudenberg, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57258, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gesamtschule,199813,"Siegen, GE Auf dem Schießberg",6,50.908701,7.9930565,"Gesamtschule auf dem Schießberg, Schießbergstraße, Geisweid, Siegen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57078, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170306,"Siegen, Gym Auf der Morgenröthe",2,50.8481688,7.982364,"Gymnasium auf der Morgenröthe; Realschule Am Hengsberg, 100, Höllenwaldstraße, Niederschelden, Siegen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57080, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170320,"Siegen, Gym Fürst-Johann-Moritz",3,50.9032681,8.0184742,"Fürst-Johann-Moritz-Gymnasium, Hüttentalstraße, Weidenau, Siegen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57076, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170331,"Siegen, Gym Am Löhrtor",2,50.87178,8.0209917,"Gymnasium am Löhrtor, 27, Oranienstraße, Siegen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57072, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170343,"Siegen, Gym Peter-Paul-Rubens",6,50.8617825,8.0192891,"Peter-Paul-Rubens-Gymnasium, Ganztagsgymnasium der Stadt Siegen, 143, Rosterstraße, Siegen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57074, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170367,"Kreuztal, Gym Zum Erbstollen",2,50.9631658,7.9958847,"Städtisches Gymnasium Kreuztal, 5, Zum Erbstollen, Kreuztal, Fellinghausen, Kreuztal, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57223, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170379,"Neunkirchen, Gym Dietrich-Bonhoeffer",1,50.7886314,8.0115193,"Dietrich-Bonhoeffer-Gymnasium, 100, Kopernikusring, Zeppenfeld, Neunkirchen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57290, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170483,"Bad Berleburg, Gym Johannes-Althusius",1,51.0497112,8.3915755,"Johannes-Althusius-Gymnasium, 11, Im Herrengarten, Oberstadt, Bad Berleburg, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57319, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,170501,"Bad Laasphe, Gym Steinackerstr.",2,50.928181,8.4101171,"Steinackerstraße, Bad Laasphe, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57334, Deutschland"
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,190615,"Netphen, Gym Haardtstraße",1,,,
Arnsberg,Kreis Siegen-Wittgenstein,Gymnasium,190639,"Wilnsdorf, Gym Hoheroth",1,50.8232309,8.118357,"Gymnasium Wilnsdorf, 94, Hoheroth, Wilnsdorf, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57234, Deutschland"
Arnsberg,Kreis Soest,Gesamtschule,192776,"Soest, GE Hannah-Arendt",4,51.5582155,8.1066055,"Hannah-Arendt-Gesamtschule, 1, Wilhelm-von-Holland-Weg, Soest, Kreis Soest, Nordrhein-Westfalen, 59494, Deutschland"
Arnsberg,Kreis Soest,Gesamtschule,195960,"Lippstadt, GE Ulmenstraße",3,51.6642971,8.3324712,"Städt. Gesamtschule Lippstadt, 31, Ulmenstraße, Lippstadt, Kreis Soest, Nordrhein-Westfalen, 59557, Deutschland"
Arnsberg,Kreis Soest,Gesamtschule,199801,"Lippetal, GE Lippetalschule",1,51.6645551,8.1471434,"Lippetalschule, 14, Alte Dorfstraße, Herzfeld, Lippetal, Kreis Soest, Nordrhein-Westfalen, 59510, Deutschland"
Arnsberg,Kreis Soest,Gymnasium,169900,"Warstein, Gym Europa-Gymnasium",2,51.4540754,8.3493607,"Europa-Gymnasium Warstein, 9, Schorenweg, Warstein-Ortschaft, Warstein, Kreis Soest, Nordrhein-Westfalen, 59581, Deutschland"
Arnsberg,Kreis Soest,Gymnasium,170112,"Geseke, Gym Antonianum",1,51.6408706,8.51294,"Gymnasium Antonianum Geseke, 1, Wichburgastraße, Geseke, Kreis Soest, Nordrhein-Westfalen, 59590, Deutschland"
Arnsberg,Kreis Soest,Gymnasium,170148,"Lippstadt, Gym Europaschule Ostendorf",3,51.6768503,8.3397178,"Europaschule Ostendorf Gymnasium, Friedrichstraße, Lippstadt, Kreis Soest, Nordrhein-Westfalen, 59555, Deutschland"
Arnsberg,Kreis Soest,Gymnasium,170150,"Erwitte, Gym Glasmerweg",2,51.6141631,8.3157888,"Glasmerweg, Stirpe, Erwitte, Kreis Soest, Nordrhein-Westfalen, 59597, Deutschland"
Arnsberg,Kreis Soest,Gymnasium,170173,"Rüthen, Gym Friedrich-Spee",1,51.4941632,8.4371522,"Friedrich-Spee-Gymnasium, 8, Lippstädter Straße, Rüthen, Kreis Soest, Nordrhein-Westfalen, 59602, Deutschland"
Arnsberg,Kreis Soest,Gymnasium,170380,"Soest, Gym Europaschule Aldegrever",2,,,
Arnsberg,Kreis Soest,Gymnasium,170392,"Soest, Gym Conrad-von-Soest",1,51.5700327,8.0820636,"Conrad-von-Soest-Gymnasium, Paradieser Weg, Ardey, Soest, Kreis Soest, Nordrhein-Westfalen, 59494, Deutschland"
Arnsberg,Kreis Soest,Gymnasium,170409,"Soest, Gym Archi",1,,,
Arnsberg,Kreis Soest,Gymnasium,170410,"Werl, Gym Marien",2,,,
Arnsberg,Kreis Unna,Gesamtschule,164290,"Fröndenberg/Ruhr, GE Im Wiesengrund",3,,,
Arnsberg,Kreis Unna,Gesamtschule,188517,"Lünen, GE Geschwister-Scholl-Schule",4,51.61,7.5218029,"Geschwister-Scholl-Gesamtschule, 2-6, Holtgrevenstraße, Geistviertel, Lünen, Kreis Unna, Nordrhein-Westfalen, 44532, Deutschland"
Arnsberg,Kreis Unna,Gesamtschule,189133,"Unna, GE Peter-Weiss",4,51.5329899,7.6954612,"Peter-Weiss-Gesamtschule, 16, Herderstraße, Unna, Kreis Unna, Nordrhein-Westfalen, 59423, Deutschland"
Arnsberg,Kreis Unna,Gesamtschule,190032,"Bergkamen, GE Willy-Brandt-Gesamtschule",5,51.6233971,7.649734,"Willy-Brandt-Gesamtschule, Albert-Schweitzer-Straße, Overberge, Bergkamen, Kreis Unna, Nordrhein-Westfalen, 59192, Deutschland"
Arnsberg,Kreis Unna,Gesamtschule,190986,"Lünen, GE Käthe-Kollwitz",5,51.5891864,7.5208927,"Käthe-Kollwitz-Gesamtschule, 8, Dammwiese, Lünen-Süd, Lünen, Kreis Unna, Nordrhein-Westfalen, 44532, Deutschland"
Arnsberg,Kreis Unna,Gesamtschule,191190,"Schwerte, GE Gänsewinkel",3,51.4475831,7.591661,"Im Gänsewinkel, Schwerte, Kreis Unna, Nordrhein-Westfalen, 58239, Deutschland"
Arnsberg,Kreis Unna,Gesamtschule,191231,"Unna, GE Werner-von-Siemens",4,51.4742852,7.7975661,"Werner-von-Siemens-Straße, Westick, Fröndenberg/Ruhr, Kreis Unna, Nordrhein-Westfalen, 58730, Deutschland"
Arnsberg,Kreis Unna,Gesamtschule,194487,"Kamen, GE Gutenbergstraße",4,51.5882074,7.6773861,"Fridtjof Nansen Realschule/Gesamtschule Kamen, 2, Gutenbergstraße, Südkamen, Kamen, Kreis Unna, Nordrhein-Westfalen, 59174, Deutschland"
Arnsberg,Kreis Unna,Gesamtschule,199825,"Schwerte, GE Theodor-Fleitmann",5,51.4450036,7.5542034,"Theodor-Fleitmann-Gesamtschule, Im Bohlgarten, Holzen-Rosen, Schwerte, Kreis Unna, Nordrhein-Westfalen, 58239, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,168178,"Werne, Gym Anne-Frank",2,51.670293,7.6178101,"Anne-Frank-Gymnasium, Goetheweg, Werne, Kreis Unna, Nordrhein-Westfalen, 59368, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,168180,"Lünen, Gym Altlünen",3,51.6333645,7.5204879,"Städtische Realschule Altlünen, Rudolph-Nagell-Straße, Nordlünen, Lünen, Kreis Unna, Nordrhein-Westfalen, 44534, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,169663,"Lünen, Gym Freiherr-vom-Stein",3,51.6105164,7.5159813,"Freiherr-vom-Stein-Gymnasium, Friedenstraße, Geistviertel, Lünen, Kreis Unna, Nordrhein-Westfalen, 44532, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,170070,"Schwerte, Gym Friedrich-Bährens",2,51.4458842,7.5728925,"Friedrich Bährens Gymnasium, Ostberger Straße, Villigst, Schwerte, Kreis Unna, Nordrhein-Westfalen, 58239, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,170082,"Schwerte, Gym Ruhrtal",2,51.4433461,7.5705202,"Ruhrtal-Gymnasium Schwerte, 6, Wittekindstraße, Wandhofen, Schwerte, Kreis Unna, Nordrhein-Westfalen, 58239, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,170434,"Kamen, Gym Hammer Str.",2,51.5955735,7.6670089,"Städtisches Gymnasium Kamen, 19, Hammer Straße, Kamen-Mitte, Kamen, Kreis Unna, Nordrhein-Westfalen, 59174, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,170446,"Unna, Gym Geschwister-Scholl",3,51.61,7.5218029,"Geschwister-Scholl-Gesamtschule, 2-6, Holtgrevenstraße, Geistviertel, Lünen, Kreis Unna, Nordrhein-Westfalen, 44532, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,170458,"Unna, Gym Ernst-Barlach",1,51.5305429,7.6947257,"Ernst-Barlach-Gymnasium, Pestalozzistraße, Unna, Kreis Unna, Nordrhein-Westfalen, 59423, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,170460,"Unna, Gym Pestalozzi",2,51.5347132,7.6990025,"Pestalozzi-Gymasium (PGU), 47, Morgenstraße, Unna, Kreis Unna, Nordrhein-Westfalen, 59423, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,170471,"Bergkamen, Gym Hubert-Biernat-Str.",3,51.6159332,7.6232685,"Städtisches Gymnasium Bergkamen, Hubert-Biernat-Straße, Bergkamen, Kreis Unna, Nordrhein-Westfalen, 59192, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,190275,"Selm, Gym Campus",3,51.6966239,7.4644878,"Campus, Beifang, Selm, Kreis Unna, Nordrhein-Westfalen, 59379, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,192168,"Holzwickede, Gym Clara-Schumann",2,51.4964018,7.6251038,"Clara-Schumann-Gymnasium, Im Bruch, Hengsen, Holzwickede, Kreis Unna, Nordrhein-Westfalen, 59439, Deutschland"
Arnsberg,Kreis Unna,Gymnasium,194130,"Bönen, Gym Marie-Curie",2,51.6028938,7.7644572,"Marie-Curie-Gymnasium, 5, Billy-Montigny-Platz, Alt-Bönen, Bönen, Kreis Unna, Nordrhein-Westfalen, 59199, Deutschland"
Arnsberg,Märkischen Kreis,Gesamtschule,164276,"Kierspe, GE Otto-Ruhe-Str.",3,51.1286916,7.5953488,"Otto-Ruhe-Straße, Höferhof, Kierspe-Dorf, Kierspe, Märkischer Kreis, Nordrhein-Westfalen, 58566, Deutschland"
Arnsberg,Märkischen Kreis,Gesamtschule,189560,"Lüdenscheid, GE Adolf-Reichwein",7,51.2341565,7.6267411,"Adolf-Reichwein-Gesamtschule, 2, Eulenweg, Wehberg, Lüdenscheid, Märkischer Kreis, Nordrhein-Westfalen, 58507, Deutschland"
Arnsberg,Märkischen Kreis,Gesamtschule,189571,"Iserlohn, GE Iserlohn",5,51.3894464,7.7003282,"Märkisches Gymnasium Iserlohn, Schulhof Schulzentrum, Iserlohner Heide, Nußberg, Iserlohn, Märkischer Kreis, Nordrhein-Westfalen, 58636, Deutschland"
Arnsberg,Märkischen Kreis,Gesamtschule,190676,"Werdohl, GE Albert-Einstein",4,,,
Arnsberg,Märkischen Kreis,Gesamtschule,195704,"Hemer, GE Europaschule am Friedenspark",3,,,
Arnsberg,Märkischen Kreis,Gesamtschule,197312,"Menden, GE Windthorststraße",4,51.4305634,7.7931116,"Gesamtschule Menden, 3, Windthorststraße, Menden (Sauerland), Märkischer Kreis, Nordrhein-Westfalen, 58706, Deutschland"
Arnsberg,Märkischen Kreis,Gesamtschule,199436,"Iserlohn, GE Seilersee",4,51.3841047,7.7185328,"Gesamtschule Seilersee, Reiterweg, Iserlohn, Märkischer Kreis, Nordrhein-Westfalen, 58636, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,169638,"Iserlohn, Gym Märkisches",2,51.3894464,7.7003282,"Märkisches Gymnasium Iserlohn, Schulhof Schulzentrum, Iserlohner Heide, Nußberg, Iserlohn, Märkischer Kreis, Nordrhein-Westfalen, 58636, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,169640,"Iserlohn, Gym An der Stenner",4,51.3781245,7.6974884,"Gymnasium An der Stenner, Gartenstraße, Nußberg, Iserlohn, Märkischer Kreis, Nordrhein-Westfalen, 58636, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,169754,"Altena, Gym Burggymnasium",3,51.2985074,7.6696324,"Burggymnasium Altena, 10, Bismarckstraße, Mühlendorf, Altena, Märkischer Kreis, Nordrhein-Westfalen, 58762, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,169766,"Plettenberg, Gym Albert-Schweitzer",2,51.2319909,7.8562828,"Albert-Schweitzer-Gymnasium, 2, Albert-Schweitzer-Straße, Böddinghausen, Ohle, Plettenberg, Märkischer Kreis, Nordrhein-Westfalen, 58840, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,169778,"Halver, Gym Anne-Frank",2,51.1839104,7.4914442,"Anne-Frank-Gymnasium, Kantstraße, Neuemühle, Halver, Märkischer Kreis, Nordrhein-Westfalen, 58553, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,169780,"Lüdenscheid, Gym Bergstadt",3,51.2203789,7.6453725,"Bergstadt-Gymnasium, 5, Saarlandstraße, Honsel, Lüdenscheid, Märkischer Kreis, Nordrhein-Westfalen, 58511, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,169791,"Lüdenscheid, Gym Geschwister-Scholl",3,51.2131061,7.6347996,"Geschwister-Scholl-Gymnasium, 27-29, Hochstraße, Staberg, Lüdenscheid, Märkischer Kreis, Nordrhein-Westfalen, 58511, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,169808,"Lüdenscheid, Gym Zeppelin-Gymnasium",4,51.212941,7.6361712,"Zeppelin-Gymnasium, 10, Staberger Straße, Staberg, Lüdenscheid, Märkischer Kreis, Nordrhein-Westfalen, 58511, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,170033,"Iserlohn, Gym Letmathe",1,51.3654894,7.6163087,"Realschule Letmathe (Zweitgebäude), 2, Reinickendorfer Straße, Letmathe, Iserlohn, Märkischer Kreis, Nordrhein-Westfalen, 58642, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,170094,"Hemer, Gym Friedrich-Leopold-Woeste",2,51.3850372,7.7563161,"Friedrich-Leopold-Woeste-Gymnasium, Feldstraße, Niederhemer, Höcklingsen, Hemer, Märkischer Kreis, Nordrhein-Westfalen, 58675, Deutschland"
Arnsberg,Märkischen Kreis,Gymnasium,199631,"Menden, Gym an der Hönne",2,51.4344791,7.7967667,"Städtisches Gymnasium an der Hönne, 2, Walramstraße, Menden (Sauerland), Märkischer Kreis, Nordrhein-Westfalen, 58706, Deutschland"
Arnsberg,Stadt Bochum,Gesamtschule,100048,"Bochum, GE Bochum-Mitte",8,51.4945855,7.2070245,"Gesamtschule Bochum-Mitte, 94, Feldsieper Straße, Hamme, Bochum-Mitte, Bochum, Nordrhein-Westfalen, 44809, Deutschland"
Arnsberg,Stadt Bochum,Gesamtschule,164239,"Bochum, GE Erich Kästner",4,51.4508728,7.2452595,"Erich-Kästner-Schule, 189, Markstraße, Querenburg, Bochum-Süd, Bochum, Nordrhein-Westfalen, 44799, Deutschland"
Arnsberg,Stadt Bochum,Gesamtschule,188311,"Bochum, GE Heinrich-Böll-Schule",5,51.4968709,7.2186059,"Heinrich-Böll-Gesamtschule Bochum, Lessingstraße, Grumme, Bochum-Mitte, Bochum, Nordrhein-Westfalen, 44791, Deutschland"
Arnsberg,Stadt Bochum,Gesamtschule,189935,"Bochum, GE Willy-Brandt",7,51.4846269,7.301282,"Willy-Brandt-Gesamtschule, Heinrich-Gustav-Straße, Werne, Bochum-Ost, Bochum, Nordrhein-Westfalen, 44894, Deutschland"
Arnsberg,Stadt Bochum,Gesamtschule,189947,"Bochum, GE Maria Sibylla Merian Schule",6,51.4704232,7.1496849,"Maria Sibylla Merian Gesamtschule, 15, Lohackerstraße, Westenfeld, Bochum-Wattenscheid, Bochum, Nordrhein-Westfalen, 44867, Deutschland"
Arnsberg,Stadt Bochum,Gymnasium,169158,"Bochum, Gym Hildegardis-Gymnasium",3,51.4863303,7.227728,"Hildegardis-Gymnasium Bochum, 1, Klinikstraße, Innenstadt, Bochum-Mitte, Bochum, Nordrhein-Westfalen, 44791, Deutschland"
Arnsberg,Stadt Bochum,Gymnasium,169160,"Bochum, Gym Graf-Engelbert-Gymnasium",2,51.4662929,7.2202622,"Graf-Engelbert-Gymnasium, 77-79, Königsallee, Ehrenfeld, Wiemelhausen, Bochum-Mitte, Bochum, Nordrhein-Westfalen, 44789, Deutschland"
Arnsberg,Stadt Bochum,Gymnasium,169171,"Bochum, Gym Schiller",1,51.4636256,7.2209842,"Schiller-Schule, 71, Waldring, Wiemelhausen, Bochum-Süd, Bochum, Nordrhein-Westfalen, 44789, Deutschland"
Arnsberg,Stadt Bochum,Gymnasium,169183,"Bochum, Gym Lessing-Gymnasium",3,51.4718894,7.31634,"Lessing-Gymnasium, 12, Ottilienstraße, Langendreer, Bochum-Ost, Bochum, Nordrhein-Westfalen, 44892, Deutschland"
Arnsberg,Stadt Bochum,Gymnasium,169213,"Bochum, Gym Goethe",3,51.4862233,7.2193393,"Goethe-Schule, 1, Goetheplatz, Innenstadt, Bochum-Mitte, Bochum, Nordrhein-Westfalen, 44791, Deutschland"
